2017-11-03 10:54:42.761 INFO  DefaultFactory Logging to 'C:\Users\deepak_s_mehta\Documents\Visual Studio 2017\Projects\Saga.Test\Saga.Order\bin\Debug\netcoreapp2.0\' with level Info
2017-11-03 10:57:10.967 INFO  DefaultFactory Logging to 'C:\Users\deepak_s_mehta\Documents\Visual Studio 2017\Projects\Saga.Test\Saga.Order\bin\Debug\netcoreapp2.0\' with level Info
2017-11-03 10:57:11.356 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2017-11-01'.

2017-11-03 10:57:12.093 WARN  NServiceBus.StartableEndpoint All queues owned by the 'Saga.Test' endpoint will be purged on startup.
2017-11-03 11:32:39.324 INFO  DefaultFactory Logging to 'C:\Users\deepak_s_mehta\Documents\Visual Studio 2017\Projects\Saga.Test\Saga.Order\bin\Debug\netcoreapp2.0\' with level Info
2017-11-03 11:32:39.685 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2017-11-01'.

2017-11-03 11:32:40.187 WARN  NServiceBus.StartableEndpoint All queues owned by the 'Saga.Test' endpoint will be purged on startup.
2017-11-03 11:34:37.665 INFO  DefaultFactory Logging to 'C:\Users\deepak_s_mehta\Documents\Visual Studio 2017\Projects\Saga.Test\Saga.Order\bin\Debug\netcoreapp2.0\' with level Info
2017-11-03 11:34:38.058 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2017-11-01'.

2017-11-03 11:34:38.973 WARN  NServiceBus.StartableEndpoint All queues owned by the 'Saga.Test' endpoint will be purged on startup.
2017-11-03 11:35:12.293 INFO  DefaultFactory Logging to 'C:\Users\deepak_s_mehta\Documents\Visual Studio 2017\Projects\Saga.Test\Saga.Order\bin\Debug\netcoreapp2.0\' with level Info
2017-11-03 11:35:12.733 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2017-11-01'.

2017-11-03 11:35:13.299 WARN  NServiceBus.StartableEndpoint All queues owned by the 'Saga.Test' endpoint will be purged on startup.
2017-11-03 11:39:19.576 INFO  DefaultFactory Logging to 'C:\Users\deepak_s_mehta\Documents\Visual Studio 2017\Projects\Saga.Test\Saga.Order\bin\Debug\netcoreapp2.0\' with level Info
